Unnamed: 0,CWE,CVE,CVSS_V3_baseScore,CVSS_V3_exploitabilityScore,CVSS_V3_attackComplexity,CVSS_V3_privilegesRequired,CVSS_V3_userInteraction
6864,CWE-200,CVE-2018-1663,5.9,2.2,HIGH,NONE,NONE
6865,CWE-79,CVE-2018-16630,4.8,1.7,LOW,HIGH,REQUIRED
6866,CWE-79,CVE-2018-16631,5.4,2.3,LOW,LOW,REQUIRED
6867,CWE-79,CVE-2018-16632,4.8,1.7,LOW,HIGH,REQUIRED
6868,CWE-79,CVE-2018-16633,5.4,2.3,LOW,LOW,REQUIRED
6869,CWE-352,CVE-2018-16634,8.8,2.8,LOW,NONE,REQUIRED
6870,CWE-79,CVE-2018-16635,5.4,2.3,LOW,LOW,REQUIRED
6871,CWE-79,CVE-2018-16636,6.5,2.8,LOW,LOW,NONE
6872,CWE-79,CVE-2018-16637,5.4,2.3,LOW,LOW,REQUIRED
6873,CWE-79,CVE-2018-16638,5.4,2.3,LOW,LOW,REQUIRED
6874,CWE-79,CVE-2018-16639,5.4,2.3,LOW,LOW,REQUIRED
6875,NVD-CWE-noinfo,CVE-2018-1664,7.8,1.8,LOW,LOW,NONE
6876,CWE-772,CVE-2018-16640,6.5,2.8,LOW,NONE,REQUIRED
6877,CWE-772,CVE-2018-16641,6.5,2.8,LOW,NONE,REQUIRED
6878,CWE-787,CVE-2018-16642,6.5,2.8,LOW,NONE,REQUIRED
6879,CWE-252,CVE-2018-16643,6.5,2.8,LOW,NONE,REQUIRED
6880,CWE-119,CVE-2018-16644,6.5,2.8,LOW,NONE,REQUIRED
6881,CWE-770,CVE-2018-16645,6.5,2.8,LOW,NONE,REQUIRED
6882,CWE-835,CVE-2018-16646,6.5,2.8,LOW,NONE,REQUIRED
6883,CWE-119,CVE-2018-16647,5.5,1.8,LOW,NONE,REQUIRED
6884,CWE-129,CVE-2018-16648,5.5,1.8,LOW,NONE,REQUIRED
6885,CWE-326,CVE-2018-1665,7.5,3.9,LOW,NONE,NONE
6886,CWE-352,CVE-2018-16650,8.8,2.8,LOW,NONE,REQUIRED
6887,CWE-1236,CVE-2018-16651,7.2,1.2,LOW,HIGH,NONE
6888,CWE-79,CVE-2018-16653,6.1,2.8,LOW,NONE,REQUIRED
6889,CWE-79,CVE-2018-16654,6.1,2.8,LOW,NONE,REQUIRED
6890,CWE-79,CVE-2018-16655,6.1,2.8,LOW,NONE,REQUIRED
6891,CWE-200,CVE-2018-16656,7.5,3.9,LOW,NONE,NONE
6892,CWE-476,CVE-2018-16657,9.8,3.9,LOW,NONE,NONE
6893,CWE-200,CVE-2018-16658,6.1,1.8,LOW,LOW,NONE
6894,CWE-89,CVE-2018-16659,9.8,3.9,LOW,NONE,NONE
6895,NVD-CWE-noinfo,CVE-2018-1666,4.3,2.8,LOW,LOW,NONE
6896,CWE-78,CVE-2018-16660,8.8,2.8,LOW,LOW,NONE
6897,CWE-787,CVE-2018-16663,7.8,1.8,LOW,LOW,NONE
6898,CWE-119,CVE-2018-16664,7.0,1.0,HIGH,LOW,NONE
6899,CWE-119,CVE-2018-16665,6.1,1.8,LOW,LOW,NONE
6900,CWE-787,CVE-2018-16666,7.8,1.8,LOW,LOW,NONE
6901,CWE-125,CVE-2018-16667,7.0,1.0,HIGH,LOW,NONE
6902,CWE-200,CVE-2018-16668,5.3,3.9,LOW,NONE,NONE
6903,CWE-522,CVE-2018-16669,9.8,3.9,LOW,NONE,NONE
6904,CWE-79,CVE-2018-1667,5.4,2.3,LOW,LOW,REQUIRED
6905,CWE-287,CVE-2018-16670,5.3,3.9,LOW,NONE,NONE
6906,CWE-200,CVE-2018-16671,5.3,3.9,LOW,NONE,NONE
6907,CWE-200,CVE-2018-16672,6.5,2.8,LOW,LOW,NONE
6908,CWE-287,CVE-2018-1668,7.5,3.9,LOW,NONE,NONE
6909,CWE-611,CVE-2018-1669,7.1,2.8,LOW,LOW,NONE
6910,CWE-200,CVE-2018-1670,4.3,2.8,LOW,LOW,NONE
6911,CWE-732,CVE-2018-16703,5.3,3.9,LOW,NONE,NONE
6912,CWE-521,CVE-2018-16703,5.3,3.9,LOW,NONE,NONE
6913,CWE-307,CVE-2018-16703,5.3,3.9,LOW,NONE,NONE
6914,CWE-639,CVE-2018-16704,4.3,2.8,LOW,LOW,NONE
6915,CWE-200,CVE-2018-16705,9.8,3.9,LOW,NONE,NONE
6916,CWE-425,CVE-2018-16706,7.5,3.9,LOW,NONE,NONE
6917,NVD-CWE-noinfo,CVE-2018-16709,9.8,3.9,LOW,NONE,NONE
6918,CWE-79,CVE-2018-1671,6.1,2.8,LOW,NONE,REQUIRED
6919,CWE-200,CVE-2018-16710,9.1,3.9,LOW,NONE,NONE
6920,CWE-119,CVE-2018-16711,8.8,2.8,LOW,LOW,NONE
6921,CWE-200,CVE-2018-16712,6.5,2.8,LOW,LOW,NONE
6922,CWE-119,CVE-2018-16713,6.5,2.8,LOW,LOW,NONE
6923,CWE-732,CVE-2018-16715,8.8,2.8,LOW,LOW,NONE
6924,CWE-22,CVE-2018-16716,9.1,3.9,LOW,NONE,NONE
6925,CWE-787,CVE-2018-16717,9.8,3.9,LOW,NONE,NONE
6926,CWE-79,CVE-2018-16718,6.1,2.8,LOW,NONE,REQUIRED
6927,CWE-20,CVE-2018-16719,7.8,1.8,LOW,LOW,NONE
6928,CWE-287,CVE-2018-1672,6.3,2.8,LOW,LOW,NONE
6929,CWE-20,CVE-2018-16720,7.8,1.8,LOW,LOW,NONE
6930,CWE-20,CVE-2018-16721,7.8,1.8,LOW,LOW,NONE
6931,CWE-20,CVE-2018-16722,7.8,1.8,LOW,LOW,NONE
6932,CWE-20,CVE-2018-16723,7.8,1.8,LOW,LOW,NONE
6933,CWE-89,CVE-2018-16724,9.8,3.9,LOW,NONE,NONE
6934,CWE-79,CVE-2018-16725,6.1,2.8,LOW,NONE,REQUIRED
6935,CWE-79,CVE-2018-16726,5.4,2.3,LOW,LOW,REQUIRED
6936,CWE-79,CVE-2018-16727,5.4,2.3,LOW,LOW,REQUIRED
6937,CWE-79,CVE-2018-16728,5.4,2.3,LOW,LOW,REQUIRED
6938,CWE-79,CVE-2018-16729,5.4,2.3,LOW,LOW,REQUIRED
6939,CWE-79,CVE-2018-1673,6.1,2.8,LOW,NONE,REQUIRED
6940,CWE-79,CVE-2018-16730,6.1,2.8,LOW,NONE,REQUIRED
6941,CWE-434,CVE-2018-16731,9.8,3.9,LOW,NONE,NONE
6942,CWE-352,CVE-2018-16732,8.8,2.8,LOW,NONE,REQUIRED
6943,CWE-20,CVE-2018-16733,7.5,3.9,LOW,NONE,NONE
6944,CWE-79,CVE-2018-16736,5.4,2.3,LOW,LOW,REQUIRED
6945,CWE-287,CVE-2018-16737,5.3,3.9,LOW,NONE,NONE
6946,CWE-287,CVE-2018-16738,3.7,2.2,HIGH,NONE,NONE
6947,CWE-89,CVE-2018-1674,8.8,2.8,LOW,LOW,NONE
6948,CWE-78,CVE-2018-16741,7.8,1.8,LOW,LOW,NONE
6949,CWE-787,CVE-2018-16742,7.8,1.8,LOW,LOW,NONE
6950,CWE-787,CVE-2018-16743,7.8,1.8,LOW,LOW,NONE
6951,CWE-78,CVE-2018-16744,7.8,1.8,LOW,LOW,NONE
6952,NVD-CWE-noinfo,CVE-2018-16744,7.8,1.8,LOW,LOW,NONE
6953,CWE-119,CVE-2018-16745,7.8,1.8,LOW,LOW,NONE
6954,CWE-617,CVE-2018-16749,6.5,2.8,LOW,NONE,REQUIRED
6955,CWE-200,CVE-2018-1675,7.5,3.9,LOW,NONE,NONE
6956,CWE-772,CVE-2018-16750,6.5,2.8,LOW,NONE,REQUIRED
6957,CWE-78,CVE-2018-16752,8.8,2.8,LOW,LOW,NONE
6958,CWE-1188,CVE-2018-16752,8.8,2.8,LOW,LOW,NONE
6959,CWE-306,CVE-2018-16758,5.9,2.2,HIGH,NONE,NONE
6960,CWE-79,CVE-2018-16759,6.1,2.8,LOW,NONE,REQUIRED
6961,CWE-79,CVE-2018-1676,6.1,2.8,LOW,NONE,REQUIRED
6962,CWE-601,CVE-2018-16761,6.1,2.8,LOW,NONE,REQUIRED
6963,CWE-89,CVE-2018-16762,9.8,3.9,LOW,NONE,NONE
6964,CWE-74,CVE-2018-16763,9.8,3.9,LOW,NONE,NONE
6965,CWE-125,CVE-2018-16764,8.8,2.8,LOW,NONE,REQUIRED
6966,CWE-119,CVE-2018-16765,8.8,2.8,LOW,NONE,REQUIRED
6967,CWE-670,CVE-2018-16766,8.8,2.8,LOW,NONE,REQUIRED
6968,CWE-119,CVE-2018-16767,8.8,2.8,LOW,NONE,REQUIRED
6969,CWE-119,CVE-2018-16768,8.8,2.8,LOW,NONE,REQUIRED
6970,NVD-CWE-noinfo,CVE-2018-16769,8.8,2.8,LOW,NONE,REQUIRED
6971,CWE-755,CVE-2018-1677,5.5,1.8,LOW,LOW,NONE
6972,NVD-CWE-noinfo,CVE-2018-16770,8.8,2.8,LOW,NONE,REQUIRED
6973,CWE-94,CVE-2018-16771,9.8,3.9,LOW,NONE,NONE
6974,CWE-79,CVE-2018-16772,4.8,1.7,LOW,HIGH,REQUIRED
6975,CWE-79,CVE-2018-16773,4.8,1.7,LOW,HIGH,REQUIRED
6976,CWE-22,CVE-2018-16774,7.5,3.9,LOW,NONE,NONE
6977,CWE-79,CVE-2018-16775,4.8,1.7,LOW,HIGH,REQUIRED
6978,CWE-79,CVE-2018-16776,4.8,1.7,LOW,HIGH,REQUIRED
6979,CWE-79,CVE-2018-16778,6.1,2.8,LOW,NONE,REQUIRED
6980,CWE-79,CVE-2018-16779,6.1,2.8,LOW,NONE,REQUIRED
6981,CWE-79,CVE-2018-16780,5.4,2.3,LOW,LOW,REQUIRED
6982,CWE-755,CVE-2018-16781,6.5,2.8,LOW,NONE,REQUIRED
6983,CWE-682,CVE-2018-16781,6.5,2.8,LOW,NONE,REQUIRED
6984,CWE-119,CVE-2018-16782,8.8,2.8,LOW,NONE,REQUIRED
6985,CWE-91,CVE-2018-16784,7.2,1.2,LOW,HIGH,NONE
6986,CWE-91,CVE-2018-16785,8.8,2.8,LOW,LOW,NONE
6987,CWE-79,CVE-2018-16786,6.1,2.8,LOW,NONE,REQUIRED
6988,CWE-835,CVE-2018-16789,7.5,3.9,LOW,NONE,NONE
6989,CWE-200,CVE-2018-1679,5.3,3.9,LOW,NONE,NONE
6990,CWE-125,CVE-2018-16790,8.1,2.8,LOW,NONE,REQUIRED
6991,CWE-522,CVE-2018-16791,9.8,3.9,LOW,NONE,NONE
6992,CWE-611,CVE-2018-16792,9.1,3.9,LOW,NONE,NONE
6993,CWE-918,CVE-2018-16793,8.6,3.9,LOW,NONE,NONE
6994,CWE-918,CVE-2018-16794,8.6,3.9,LOW,NONE,NONE
6995,CWE-352,CVE-2018-16795,8.8,2.8,LOW,NONE,REQUIRED
6996,CWE-434,CVE-2018-16796,8.8,2.8,LOW,LOW,NONE
6997,CWE-787,CVE-2018-16797,7.8,1.8,LOW,NONE,REQUIRED
6998,CWE-521,CVE-2018-1680,7.5,3.9,LOW,NONE,NONE
6999,NVD-CWE-noinfo,CVE-2018-16802,7.8,1.8,LOW,NONE,REQUIRED
7000,CWE-89,CVE-2018-16803,9.8,3.9,LOW,NONE,NONE
7001,CWE-79,CVE-2018-16804,6.1,2.8,LOW,NONE,REQUIRED
7002,CWE-79,CVE-2018-16805,4.8,1.7,LOW,HIGH,REQUIRED
7003,CWE-327,CVE-2018-16806,6.5,2.8,LOW,NONE,NONE
7004,CWE-772,CVE-2018-16807,7.5,3.9,LOW,NONE,NONE
7005,CWE-79,CVE-2018-16808,6.1,2.8,LOW,NONE,REQUIRED
7006,CWE-89,CVE-2018-16809,9.8,3.9,LOW,NONE,NONE
7007,CWE-22,CVE-2018-16819,4.9,1.2,LOW,HIGH,NONE
7008,CWE-200,CVE-2018-1682,5.3,3.9,LOW,NONE,NONE
7009,CWE-22,CVE-2018-16820,7.5,3.9,LOW,NONE,NONE
7010,CWE-434,CVE-2018-16821,5.3,3.9,LOW,NONE,NONE
7011,CWE-89,CVE-2018-16822,9.8,3.9,LOW,NONE,NONE
7012,CWE-311,CVE-2018-1683,7.5,3.9,LOW,NONE,NONE
7013,CWE-22,CVE-2018-16831,5.9,2.2,HIGH,NONE,NONE
7014,CWE-352,CVE-2018-16832,6.5,2.8,LOW,NONE,REQUIRED
7015,CWE-79,CVE-2018-16833,6.1,2.8,LOW,NONE,REQUIRED
7016,CWE-22,CVE-2018-16836,9.8,3.9,LOW,NONE,NONE
7017,CWE-311,CVE-2018-16837,7.8,1.8,LOW,LOW,NONE
7018,CWE-269,CVE-2018-16838,5.4,2.8,LOW,LOW,NONE
7019,CWE-119,CVE-2018-16839,9.8,3.9,LOW,NONE,NONE
7020,NVD-CWE-noinfo,CVE-2018-1684,6.5,2.8,LOW,LOW,NONE
7021,CWE-416,CVE-2018-16840,9.8,3.9,LOW,NONE,NONE
7022,CWE-415,CVE-2018-16841,6.5,2.8,LOW,LOW,NONE
7023,CWE-125,CVE-2018-16842,9.1,3.9,LOW,NONE,NONE
7024,CWE-400,CVE-2018-16843,7.5,3.9,LOW,NONE,NONE
7025,CWE-400,CVE-2018-16844,7.5,3.9,LOW,NONE,NONE
7026,CWE-835,CVE-2018-16845,6.1,1.8,LOW,NONE,REQUIRED
7027,CWE-770,CVE-2018-16846,6.5,2.8,LOW,LOW,NONE
7028,CWE-787,CVE-2018-16847,7.8,1.8,LOW,LOW,NONE
7029,CWE-125,CVE-2018-16847,7.8,1.8,LOW,LOW,NONE
7030,CWE-400,CVE-2018-16848,6.5,2.8,LOW,LOW,NONE
7031,CWE-200,CVE-2018-16849,7.5,3.9,LOW,NONE,NONE
7032,CWE-200,CVE-2018-1685,5.5,1.8,LOW,LOW,NONE
7033,CWE-89,CVE-2018-16850,9.8,3.9,LOW,NONE,NONE
7034,CWE-476,CVE-2018-16851,6.5,2.8,LOW,LOW,NONE
7035,CWE-476,CVE-2018-16852,4.4,0.7,HIGH,HIGH,NONE
7036,CWE-400,CVE-2018-16853,5.9,2.2,HIGH,NONE,NONE
7037,CWE-352,CVE-2018-16854,8.8,2.8,LOW,NONE,REQUIRED
7038,CWE-125,CVE-2018-16855,7.5,3.9,LOW,NONE,NONE
7039,CWE-532,CVE-2018-16856,7.5,3.9,LOW,NONE,NONE
7040,CWE-358,CVE-2018-16857,5.9,2.2,HIGH,NONE,NONE
7041,CWE-22,CVE-2018-16858,9.8,3.9,LOW,NONE,NONE
7042,CWE-532,CVE-2018-16859,4.4,0.8,LOW,HIGH,NONE
7043,CWE-79,CVE-2018-1686,5.4,2.3,LOW,LOW,REQUIRED
7044,CWE-358,CVE-2018-16860,7.5,1.6,HIGH,LOW,NONE
7045,CWE-79,CVE-2018-16861,4.8,1.7,LOW,HIGH,REQUIRED
7046,CWE-200,CVE-2018-16862,5.5,1.8,LOW,LOW,NONE
7047,CWE-78,CVE-2018-16863,7.8,1.8,LOW,NONE,REQUIRED
7048,CWE-770,CVE-2018-16864,7.8,1.8,LOW,LOW,NONE
7049,CWE-770,CVE-2018-16865,7.8,1.8,LOW,LOW,NONE
7050,CWE-125,CVE-2018-16866,3.3,1.8,LOW,LOW,NONE
7051,CWE-362,CVE-2018-16867,7.8,1.1,HIGH,LOW,NONE
7052,CWE-203,CVE-2018-16868,5.6,0.4,HIGH,LOW,NONE
7053,CWE-203,CVE-2018-16869,5.7,0.5,HIGH,NONE,NONE
7054,CWE-310,CVE-2018-16870,5.9,2.2,HIGH,NONE,NONE
7055,CWE-476,CVE-2018-16871,7.5,3.9,LOW,NONE,NONE
7056,CWE-367,CVE-2018-16872,5.3,1.6,HIGH,LOW,NONE
7057,CWE-20,CVE-2018-16873,8.1,2.2,HIGH,NONE,NONE
7058,CWE-22,CVE-2018-16874,8.1,2.2,HIGH,NONE,NONE
7059,CWE-295,CVE-2018-16875,7.5,3.9,LOW,NONE,NONE
7060,CWE-200,CVE-2018-16876,5.3,1.6,HIGH,LOW,NONE
7061,CWE-287,CVE-2018-16877,7.8,1.8,LOW,LOW,NONE
7062,CWE-400,CVE-2018-16878,5.5,1.8,LOW,LOW,NONE
7063,CWE-311,CVE-2018-16879,9.8,3.9,LOW,NONE,NONE
7064,CWE-79,CVE-2018-1688,5.4,2.3,LOW,LOW,REQUIRED
7065,CWE-787,CVE-2018-16880,7.0,1.0,HIGH,LOW,NONE
7066,CWE-190,CVE-2018-16881,7.5,3.9,LOW,NONE,NONE
7067,CWE-416,CVE-2018-16882,8.8,2.0,LOW,LOW,NONE
7068,CWE-200,CVE-2018-16883,5.5,1.8,LOW,LOW,NONE
7069,CWE-416,CVE-2018-16884,8.0,2.1,LOW,LOW,NONE
7070,CWE-125,CVE-2018-16885,5.5,1.8,LOW,LOW,NONE
7071,CWE-287,CVE-2018-16886,8.1,2.2,HIGH,NONE,NONE
7072,CWE-79,CVE-2018-16887,5.4,2.3,LOW,LOW,REQUIRED
7073,CWE-732,CVE-2018-16888,4.7,1.0,HIGH,LOW,NONE
7074,CWE-20,CVE-2018-16888,4.7,1.0,HIGH,LOW,NONE
7075,CWE-312,CVE-2018-16889,7.5,3.9,LOW,NONE,NONE
7076,CWE-200,CVE-2018-16889,7.5,3.9,LOW,NONE,NONE
7077,CWE-20,CVE-2018-16889,7.5,3.9,LOW,NONE,NONE
7078,CWE-190,CVE-2018-16890,7.5,3.9,LOW,NONE,NONE
7079,CWE-125,CVE-2018-16890,7.5,3.9,LOW,NONE,NONE
7080,CWE-79,CVE-2018-1690,5.4,2.3,LOW,LOW,REQUIRED
7081,CWE-79,CVE-2018-1691,5.4,2.3,LOW,LOW,REQUIRED
7082,CWE-79,CVE-2018-1692,5.4,2.3,LOW,LOW,REQUIRED
7083,NVD-CWE-noinfo,CVE-2018-1694,5.9,2.2,HIGH,NONE,NONE
7084,CWE-552,CVE-2018-16946,7.5,3.9,LOW,NONE,NONE
7085,CWE-287,CVE-2018-16947,9.8,3.9,LOW,NONE,NONE
7086,CWE-200,CVE-2018-16948,7.5,3.9,LOW,NONE,NONE
7087,CWE-400,CVE-2018-16949,7.5,3.9,LOW,NONE,NONE
7088,CWE-290,CVE-2018-1695,5.6,2.2,HIGH,NONE,NONE
7089,NVD-CWE-noinfo,CVE-2018-16950,6.5,2.8,LOW,NONE,NONE
7090,CWE-352,CVE-2018-16951,8.0,2.1,LOW,LOW,REQUIRED
7091,CWE-352,CVE-2018-16952,8.8,2.8,LOW,NONE,REQUIRED
7092,CWE-79,CVE-2018-16953,6.1,2.8,LOW,NONE,REQUIRED
7093,CWE-601,CVE-2018-16954,6.1,2.8,LOW,NONE,REQUIRED
7094,CWE-79,CVE-2018-16955,6.1,2.8,LOW,NONE,REQUIRED
7095,CWE-20,CVE-2018-16956,6.5,2.8,LOW,LOW,NONE
7096,CWE-798,CVE-2018-16957,9.8,3.9,LOW,NONE,NONE
7097,CWE-732,CVE-2018-16958,5.4,2.8,LOW,NONE,REQUIRED
7098,CWE-200,CVE-2018-16959,5.3,3.9,LOW,NONE,NONE
7099,CWE-79,CVE-2018-16960,6.1,2.8,LOW,NONE,REQUIRED
7100,CWE-22,CVE-2018-16961,7.5,3.9,LOW,NONE,NONE
7101,CWE-123,CVE-2018-16962,7.8,1.8,LOW,LOW,NONE
7102,CWE-79,CVE-2018-16965,6.1,2.8,LOW,NONE,REQUIRED
7103,CWE-352,CVE-2018-16966,8.8,2.8,LOW,NONE,REQUIRED
7104,CWE-79,CVE-2018-16967,6.1,2.8,LOW,NONE,REQUIRED
7105,CWE-22,CVE-2018-16968,3.1,1.6,HIGH,LOW,NONE
7106,CWE-200,CVE-2018-16969,4.3,2.8,LOW,LOW,NONE
7107,CWE-200,CVE-2018-1697,4.3,2.8,LOW,LOW,NONE
7108,CWE-538,CVE-2018-16970,4.3,2.8,LOW,LOW,NONE
7109,CWE-639,CVE-2018-16971,4.3,2.8,LOW,LOW,NONE
7110,CWE-434,CVE-2018-16974,9.8,3.9,LOW,NONE,NONE
7111,CWE-94,CVE-2018-16975,9.8,3.9,LOW,NONE,NONE
7112,CWE-362,CVE-2018-16976,8.1,2.8,LOW,LOW,NONE
7113,CWE-200,CVE-2018-16977,5.3,3.9,LOW,NONE,NONE
7114,CWE-79,CVE-2018-16978,6.1,2.8,LOW,NONE,REQUIRED
7115,CWE-113,CVE-2018-16979,6.1,2.8,LOW,NONE,REQUIRED
7116,CWE-200,CVE-2018-1698,5.3,3.9,LOW,NONE,NONE
7117,CWE-79,CVE-2018-16980,6.1,2.8,LOW,NONE,REQUIRED
7118,CWE-787,CVE-2018-16981,8.8,2.8,LOW,NONE,REQUIRED
7119,CWE-125,CVE-2018-16982,5.5,1.8,LOW,NONE,REQUIRED
7120,NVD-CWE-noinfo,CVE-2018-16983,9.8,3.9,LOW,NONE,NONE
7121,CWE-522,CVE-2018-16984,4.9,1.2,LOW,HIGH,NONE
7122,CWE-125,CVE-2018-16985,7.5,3.9,LOW,NONE,NONE
7123,CWE-787,CVE-2018-16986,8.8,2.8,LOW,NONE,NONE
7124,CWE-522,CVE-2018-16987,7.2,1.2,LOW,HIGH,NONE
7125,CWE-640,CVE-2018-16988,9.8,3.9,LOW,NONE,NONE
7126,CWE-89,CVE-2018-1699,8.8,2.8,LOW,LOW,NONE
7127,NVD-CWE-noinfo,CVE-2018-16994,7.5,3.9,LOW,NONE,NONE
7128,CWE-787,CVE-2018-16999,5.5,1.8,LOW,NONE,REQUIRED
7129,CWE-476,CVE-2018-17000,6.5,2.8,LOW,NONE,REQUIRED
7130,CWE-79,CVE-2018-17001,6.1,2.8,LOW,NONE,REQUIRED
7131,CWE-79,CVE-2018-17002,6.1,2.8,LOW,NONE,REQUIRED
7132,CWE-79,CVE-2018-17003,6.1,2.8,LOW,NONE,REQUIRED
7133,NVD-CWE-noinfo,CVE-2018-17004,6.5,2.8,LOW,LOW,NONE
7134,NVD-CWE-noinfo,CVE-2018-17005,6.5,2.8,LOW,LOW,NONE
7135,NVD-CWE-noinfo,CVE-2018-17006,6.5,2.8,LOW,LOW,NONE
7136,NVD-CWE-noinfo,CVE-2018-17007,6.5,2.8,LOW,LOW,NONE
7137,NVD-CWE-noinfo,CVE-2018-17008,6.5,2.8,LOW,LOW,NONE
7138,NVD-CWE-noinfo,CVE-2018-17009,6.5,2.8,LOW,LOW,NONE
7139,NVD-CWE-noinfo,CVE-2018-1701,8.5,1.8,HIGH,LOW,NONE
7140,NVD-CWE-noinfo,CVE-2018-17010,6.5,2.8,LOW,LOW,NONE
7141,NVD-CWE-noinfo,CVE-2018-17011,6.5,2.8,LOW,LOW,NONE
7142,NVD-CWE-noinfo,CVE-2018-17012,6.5,2.8,LOW,LOW,NONE
7143,NVD-CWE-noinfo,CVE-2018-17013,6.5,2.8,LOW,LOW,NONE
7144,NVD-CWE-noinfo,CVE-2018-17014,6.5,2.8,LOW,LOW,NONE
7145,NVD-CWE-noinfo,CVE-2018-17015,6.5,2.8,LOW,LOW,NONE
7146,NVD-CWE-noinfo,CVE-2018-17016,6.5,2.8,LOW,LOW,NONE
7147,NVD-CWE-noinfo,CVE-2018-17017,6.5,2.8,LOW,LOW,NONE
7148,NVD-CWE-noinfo,CVE-2018-17018,6.5,2.8,LOW,LOW,NONE
7149,CWE-20,CVE-2018-17019,7.5,3.9,LOW,NONE,NONE
7150,CWE-611,CVE-2018-1702,7.1,2.8,LOW,LOW,NONE
7151,NVD-CWE-noinfo,CVE-2018-17020,7.5,3.9,LOW,NONE,NONE
7152,CWE-79,CVE-2018-17021,6.1,2.8,LOW,NONE,REQUIRED
7153,CWE-787,CVE-2018-17022,7.2,1.2,LOW,HIGH,NONE
7154,CWE-352,CVE-2018-17023,8.8,2.8,LOW,NONE,REQUIRED
7155,CWE-79,CVE-2018-17024,4.8,1.7,LOW,HIGH,REQUIRED
7156,CWE-79,CVE-2018-17025,6.1,2.8,LOW,NONE,REQUIRED
7157,CWE-79,CVE-2018-17026,4.8,1.7,LOW,HIGH,REQUIRED
7158,CWE-94,CVE-2018-17030,7.5,1.6,HIGH,LOW,NONE
7159,CWE-79,CVE-2018-17031,6.1,2.8,LOW,NONE,REQUIRED
7160,CWE-79,CVE-2018-17034,6.1,2.8,LOW,NONE,REQUIRED
7161,CWE-89,CVE-2018-17035,9.8,3.9,LOW,NONE,NONE
7162,CWE-94,CVE-2018-17036,9.8,3.9,LOW,NONE,NONE
7163,CWE-732,CVE-2018-17037,8.8,2.8,LOW,LOW,NONE
7164,CWE-79,CVE-2018-17039,6.1,2.8,LOW,NONE,REQUIRED
7165,CWE-601,CVE-2018-1704,5.4,2.3,LOW,LOW,REQUIRED
7166,CWE-835,CVE-2018-17042,5.5,1.8,LOW,NONE,REQUIRED
7167,CWE-787,CVE-2018-17043,7.8,1.8,LOW,NONE,REQUIRED
7168,CWE-79,CVE-2018-17044,4.8,1.7,LOW,HIGH,REQUIRED
7169,CWE-352,CVE-2018-17045,8.8,2.8,LOW,NONE,REQUIRED
7170,CWE-79,CVE-2018-17046,6.1,2.8,LOW,NONE,REQUIRED
7171,CWE-89,CVE-2018-17048,7.5,3.9,LOW,NONE,NONE
7172,CWE-79,CVE-2018-17049,6.1,2.8,LOW,NONE,REQUIRED
7173,CWE-200,CVE-2018-1705,6.5,2.8,LOW,LOW,NONE
7174,CWE-190,CVE-2018-17050,7.5,3.9,LOW,NONE,NONE
7175,CWE-79,CVE-2018-17051,6.1,2.8,LOW,NONE,REQUIRED
7176,CWE-79,CVE-2018-17053,6.1,2.8,LOW,NONE,REQUIRED
7177,CWE-79,CVE-2018-17054,6.1,2.8,LOW,NONE,REQUIRED
7178,CWE-434,CVE-2018-17055,7.5,3.9,LOW,NONE,NONE
7179,CWE-79,CVE-2018-17056,6.1,2.8,LOW,NONE,REQUIRED
7180,CWE-502,CVE-2018-17057,9.8,3.9,LOW,NONE,NONE
7181,CWE-434,CVE-2018-17058,8.8,2.8,LOW,LOW,NONE
7182,CWE-79,CVE-2018-1706,5.4,2.3,LOW,LOW,REQUIRED
7183,NVD-CWE-noinfo,CVE-2018-17060,5.3,3.9,LOW,NONE,NONE
7184,CWE-79,CVE-2018-17061,6.1,2.8,LOW,NONE,REQUIRED
7185,CWE-79,CVE-2018-17062,6.1,2.8,LOW,NONE,REQUIRED
7186,CWE-78,CVE-2018-17063,9.8,3.9,LOW,NONE,NONE
7187,CWE-78,CVE-2018-17064,9.8,3.9,LOW,NONE,NONE
7188,CWE-787,CVE-2018-17065,9.8,3.9,LOW,NONE,NONE
7189,CWE-78,CVE-2018-17066,9.8,3.9,LOW,NONE,NONE
7190,CWE-787,CVE-2018-17067,9.8,3.9,LOW,NONE,NONE
7191,CWE-78,CVE-2018-17068,9.8,3.9,LOW,NONE,NONE
7192,CWE-352,CVE-2018-17069,6.5,2.8,LOW,NONE,REQUIRED
7193,CWE-352,CVE-2018-17070,6.5,2.8,LOW,NONE,REQUIRED
7194,CWE-338,CVE-2018-17071,7.5,3.9,LOW,NONE,NONE
7195,CWE-125,CVE-2018-17072,9.8,3.9,LOW,NONE,NONE
7196,CWE-476,CVE-2018-17073,7.5,3.9,LOW,NONE,NONE
7197,CWE-601,CVE-2018-17074,6.1,2.8,LOW,NONE,REQUIRED
7198,CWE-476,CVE-2018-17075,7.5,3.9,LOW,NONE,NONE
7199,CWE-119,CVE-2018-17076,8.8,2.8,LOW,NONE,REQUIRED
7200,CWE-79,CVE-2018-17077,6.1,2.8,LOW,NONE,REQUIRED
7201,CWE-79,CVE-2018-17079,6.1,2.8,LOW,NONE,REQUIRED
7202,CWE-200,CVE-2018-1708,6.5,2.8,LOW,LOW,NONE
7203,CWE-352,CVE-2018-17081,4.3,2.8,LOW,NONE,REQUIRED
